Sample Code,Bone Part,Unit,Sector,Depth (cm),Ceramic Phase,Burial,Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
LM945,Long bone,9,6,-,3,945,54,4.7,9.2,0.4,-12.7,-12.6,-12.8,-12.7,0.1,3.3,0.2,8.0,8.2,8.0,8.1,0.1,3.3,3,2
LM938,Long bone,9,-,180-190,3,938,34,3.8,35.9,1.0,-12.8,-12.8,-12.8,-12.8,0.0,13.1,0.4,9.8,9.6,9.7,9.7,0.1,3.2,3,2
LM121,Long bone,2a,-,135-145,3,121,40,3.7,25.6,0.3,-12.2,-12.1,-12.1,-12.1,0.0,9.4,0.1,7.0,7.0,6.9,7.0,0.0,3.2,3,2
LM107c/1,Long bone,2a,103/31,120-130,3 (?),107c/1,53,4.9,29.3,2.6,-11.2,-11.2,-11.2,-11.2,0.0,10.8,0.9,8.8,8.9,8.9,8.9,0.0,3.2,3,2
LM21A,Long bone,Profile 1,9_10,5,4,21A,55,6.6,31.2,2.0,-13.4,-13.3,-13.4,-13.4,0.0,11.4,0.8,9.2,9.2,9.1,9.1,0.1,3.2,3,2
LM929,Rib,9,13,-,4,929,27,2.6,16.5,1.6,-11.8,-11.9,-11.8,-11.8,0.1,6.0,0.6,8.2,8.2,8.1,8.1,0.0,3.2,3,2
LM931,Long bone,9,-,-,4,931,17,3.7,39.2,1.4,-12.1,-12.1,-12.1,-12.1,0.0,14.1,0.6,9.0,8.8,8.8,8.9,0.1,3.2,3,2
LM932,Long bone,9,14,163,4,932,23,4.3,38.9,2.6,-14.4,-14.6,-14.4,-14.5,0.1,13.9,0.7,8.6,8.5,8.5,8.5,0.1,3.3,3,2
LM934,Long bone,9,-,-,4,934,24,4.6,42.0,2.6,-10.4,-10.4,-10.5,-10.4,0.0,15.1,0.9,10.9,10.9,10.7,10.8,0.1,3.2,3,2
LM937,Long bone,9,4,-,4,937,35,3.5,27.8,1.5,-11.9,-11.9,-11.9,-11.9,0.0,10.2,0.6,8.9,8.8,9.0,8.9,0.1,3.2,3,2
LM948,Rib,9,20B,180-190,4,948,3,0.9,42.2,1.5,-11.0,-10.9,-10.9,-10.9,0.0,15.1,0.5,10.4,10.4,10.4,10.4,0.0,3.3,3,2
LM204,Rib,Profile,-,190-200,4,204,19,4.6,39.9,1.1,-8.8,-8.9,-8.9,-8.9,0.0,14.3,0.5,9.6,9.5,9.5,9.5,0.0,3.2,3,2
LM95,Skull,1,-,-,4,95,83,8.9,38.3,2.5,-12.8,-12.8,-12.8,-12.8,0.0,14.0,0.8,11.8,11.9,11.8,11.8,0.0,3.2,3,2
LM98,Long bone,1,-,-,4,98,29,7.0,39.1,0.8,-13.2,-13.2,-13.2,-13.2,0.0,14.2,0.4,12.0,12.1,12.0,12.1,0.0,3.2,3,2
LM99,Long bone,Profile 1,-,Capa 5,4,99,47,5.4,35.1,2.1,-14.3,-14.2,-14.3,-14.3,0.0,12.8,0.7,9.3,9.2,9.2,9.2,0.0,3.2,3,2
LM524,Long bone,5,8/a,360-370,4,524,11,2.8,36.7,0.1,-15.8,-15.9,-15.8,-15.8,0.0,13.3,0.1,9.1,9.1,9.0,9.1,0.1,3.2,3,2
LM101a,Long bone,2a,-,-,4,101/1,25,8.0,42.2,2.0,-12.9,-12.9,-12.8,-12.9,0.0,15.5,0.7,11.4,11.4,11.4,11.4,0.0,3.2,3,2
LM101b,Long bone,,-,-,4,101,49,4.7,31.3,0.5,-13.1,-13.1,-13.1,-13.1,0.0,11.5,0.1,8.6,8.7,8.7,8.7,0.1,3.2,3,2
LM901,Skull,9,9,60-70,-,901,53,6.5,27.6,1.7,-12.9,-12.8,-12.7,-12.8,0.1,10.2,0.7,7.7,7.7,7.7,7.7,0.0,3.2,3,2
LM902,Skull,9,5,80-90,-,902,46,4.7,12.3,1.2,-12.5,-12.5,-12.4,-12.4,0.0,4.4,0.4,9.0,9.1,9.2,9.1,0.1,3.2,3,2
LM903A,Skull,9,2,90-100,-,903,65,6.4,32.0,2.5,-12.4,-12.3,-12.3,-12.4,0.0,11.8,0.9,8.2,8.2,8.1,8.2,0.0,3.2,3,2
LM903B,Skull,9,19/A,100-110,-,903,44,7.8,37.9,1.0,-10.4,-10.4,-10.4,-10.4,0.0,14.1,0.4,9.0,8.9,8.9,8.9,0.1,3.1,3,2
LM911,Skull,9,14,160-170,-,911,23,2.8,35.1,0.7,-14.2,-14.0,-14.0,-14.1,0.1,12.7,0.3,9.0,9.0,8.9,9.0,0.1,3.2,3,2
Mean,N=23,,,,,,,,,,,,,-12.5,,,,,,,9.3,,,,
1?,,,,,,,,,,,,,,1.5,,,,,,,1.3,,,,
Range,,,,,,,,,,,,,,7.0,,,,,,,5.1,,,,
Median,,,,,,,,,,,,,,-12.7,,,,,,,9.0,,,,
IQR,,,,,,,,,,,,,,1.3,,,,,,,1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
