Sample Code,Site ,Taxa,Species,Bone Part,Phase,Cut,Unit,Square,Level (cm),Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
SAF1,Salvatierra,Deer,Mazama sp.,Tibia?,3,923,9,201/95,190-200,40,7.8,43.8,6.3,-20.6,-20.6,-20.6,-20.6,0.0,15.9,1.8,7.3,7.4,7.3,7.3,0.0,3.2,3,3
SAF2,Salvatierra,9 band armadillo,Dasypus novemcinctus  ,Bone plate,3,923,9,201/95,190-200,23,5.8,42.5,1.2,-12.5,-12.5,-12.5,-12.5,0.0,15.7,0.3,9.2,9.3,9.3,9.3,0.0,3.2,3,3
SAF3,Salvatierra,Snake,Unknown,Vertebrae,3,923,9,201/95,190-200,22,3.1,41.8,2.4,-18.0,-17.1,-17.1,-17.4,0.5,15.1,0.3,7.5,7.6,7.6,7.6,0.1,3.2,3,3
SAF4,Salvatierra,9 band armadillo,Dasypus novemcinctus  ,Bone plate,3,923,9,203/98,170-180,18,3.0,41.1,1.3,-11.2,-11.2,-11.2,-11.2,0.0,15.0,0.5,8.3,8.4,8.4,8.4,0.1,3.1,3,3
SAF5,Salvatierra,Swamp eel,Synbranchus spp.,Dentary,3,923,9,202/95,190-200,12,1.6,29.5,1.2,-13.2,-13.3,-13.2,-13.2,0.1,10.9,0.1,6.4,6.5,6.5,6.5,0.1,3.1,3,3
SAF6,Salvatierra,6 band armadillo,Euphractus sexcinctus,Bone plate,3,923,9,202/95,190-200,52,4.5,30.4,5.5,-10.2,-10.2,-10.2,-10.2,0.0,11.0,1.6,9.6,9.6,9.5,9.5,0.0,3.2,3,3
SAF7,Salvatierra,Caiman,Caiman sp.,Bone plate,3,923,9,201/97,200-210,60,6.7,36.7,2.2,-16.6,-16.6,-16.6,-16.6,0.0,13.9,0.6,5.9,6.0,6.0,6.0,0.1,3.1,3,3
SAF8,Salvatierra,Swamp eel,Synbranchus spp.,Fin Spike,3,911,9,202/96,160-170,3,0.7,40.2,0.3,-17.2,-17.0,-17.0,-17.1,0.1,13.8,0.3,7.5,7.5,7.5,7.5,0.0,3.3,3,3
SAF9,Salvatierra,6 band armadillo,Euphractus sexcinctus,Bone plate,3,911,9,202/96,160-170,53,4.5,34.5,1.5,-8.4,-8.3,-8.3,-8.3,0.0,13.2,0.1,8.7,8.7,8.7,8.7,0.0,3.0,3,3
SAF10,Salvatierra,Muscovy duck,Cairina moschata,Pelvis (L),3,99,9,205/98,180-190,6,1.2,32.1,3.2,-13.1,-13.1,-13.0,-13.1,0.0,11.2,1.1,3.9,4.0,3.8,3.9,0.1,3.3,3,3
SAF13,Salvatierra,Deer,Mazama sp.,Mandible,3,99,9,208/98,190-200,37,6.2,40.6,1.4,-19.7,-19.7,-19.7,-19.7,0.0,15.1,0.1,6.7,6.8,6.8,6.8,0.1,3.1,3,3
SAF14,Salvatierra,Muscovy duck,Cairina moschata,Fibulae,3,99,9,201/95,180-190,77,10.5,42.0,1.0,-7.3,-7.3,-7.3,-7.3,0.0,15.6,0.1,8.2,8.3,8.3,8.3,0.0,3.1,3,3
SAF15,Salvatierra,Swamp eel,Synbranchus spp.,Dentary,3,99,9,201/98,180-190,11,1.7,36.4,1.0,-18.3,-18.2,-18.3,-18.3,0.0,12.5,0.2,7.6,7.6,7.6,7.6,0.0,3.4,3,3
SAF16,Salvatierra,9 band armadillo,Dasypus novemcinctus  ,Bone plate,3,99,9,201/98,180-190,46,9.2,44.9,0.8,-8.4,-8.4,-8.4,-8.4,0.0,16.9,0.2,7.5,7.5,7.5,7.5,0.0,3.1,3,3
SAF17,Salvatierra,Muscovy duck,Cairina moschata,Pelvis,3,99,9,207/99,190-200,20,3.2,24.7,1.4,-12.2,-12.2,-12.2,-12.2,0.0,8.7,0.3,3.6,3.7,3.7,3.7,0.1,3.3,3,3
SAF18,Salvatierra,Deer,Mazama sp.,Metapodial,3,99,9,204/97,180-190,21,4.0,43.7,1.5,-19.7,-19.7,-19.7,-19.7,0.0,15.6,0.0,6.6,6.8,6.8,6.8,0.1,3.2,3,3
SAF19,Salvatierra,6 band armadillo,Euphractus sexcinctus,Tibia?,3,99,9,204/97,180-190,60,6.3,34.5,5.3,-11.1,-11.0,-11.1,-11.1,0.0,12.6,1.9,9.4,9.5,9.4,9.4,0.0,3.2,3,3
SAF20,Salvatierra,6 band armadillo,Euphractus sexcinctus,Bone plate,3,99,9,204/97,170-180,14,2.4,38.0,1.1,-8.7,-8.9,-8.7,-8.8,0.1,13.3,0.4,9.3,9.4,9.4,9.4,0.1,3.4,3,3
